datetime,spot_price,opt_open,opt_high,opt_low,opt_close,volume,iv_pct,delta,gamma,theta,vega
2026-07-10 09:17:00,24174.0,259.85,259.85,259.85,259.85,65,10.69,-0.318,0.00029,-2.6,40.33
2026-07-10 09:18:00,24164.8,259.85,259.85,259.85,259.85,0,15.0,-0.3616,0.000217,-3.82,42.3
2026-07-10 09:19:00,24162.7,259.85,259.85,259.85,259.85,0,15.0,-0.362,0.000217,-3.82,42.31
2026-07-10 09:20:00,24156.85,259.85,259.85,259.85,259.85,0,15.0,-0.3633,0.000217,-3.83,42.35
2026-07-10 09:21:00,24163.9,259.85,259.85,259.85,259.85,0,15.0,-0.3618,0.000217,-3.82,42.3
2026-07-10 09:22:00,24158.9,259.85,259.85,259.85,259.85,0,15.0,-0.3629,0.000217,-3.83,42.33
2026-07-10 09:23:00,24168.35,259.85,259.85,259.85,259.85,0,15.0,-0.3608,0.000217,-3.82,42.27
2026-07-10 09:24:00,24174.75,259.85,259.85,259.85,259.85,0,15.0,-0.3594,0.000216,-3.82,42.23
2026-07-10 09:25:00,24173.0,259.85,259.85,259.85,259.85,0,15.0,-0.3598,0.000216,-3.82,42.24
2026-07-10 09:26:00,24157.45,259.85,259.85,259.85,259.85,0,15.0,-0.3632,0.000217,-3.83,42.34
2026-07-10 09:27:00,24163.85,259.85,259.85,259.85,259.85,0,15.0,-0.3618,0.000217,-3.82,42.3
2026-07-10 09:28:00,24168.8,259.85,259.85,259.85,259.85,0,15.0,-0.3607,0.000217,-3.82,42.27
2026-07-10 09:29:00,24168.4,259.85,259.85,259.85,259.85,0,15.0,-0.3608,0.000217,-3.82,42.27
2026-07-10 09:30:00,24173.5,259.85,259.85,259.85,259.85,0,15.0,-0.3597,0.000216,-3.82,42.24
2026-07-10 09:31:00,24170.25,259.85,259.85,259.85,259.85,0,15.0,-0.3604,0.000217,-3.82,42.26
2026-07-10 09:32:00,24167.6,259.85,259.85,259.85,259.85,0,15.0,-0.361,0.000217,-3.82,42.28
2026-07-10 09:33:00,24177.2,259.85,259.85,259.85,259.85,0,15.0,-0.3589,0.000216,-3.82,42.21
2026-07-10 09:34:00,24186.0,259.85,259.85,259.85,259.85,0,15.0,-0.357,0.000216,-3.81,42.15
2026-07-10 09:35:00,24184.9,259.85,259.85,259.85,259.85,0,15.0,-0.3572,0.000216,-3.81,42.16
2026-07-10 09:36:00,24181.2,259.85,259.85,259.85,259.85,0,15.0,-0.358,0.000216,-3.81,42.18
2026-07-10 09:37:00,24193.6,259.85,259.85,259.85,259.85,0,15.0,-0.3554,0.000215,-3.81,42.1
