datetime,sensex_spot,rolled_atm_strike,atm_ce_close,atm_ce_iv,atm_ce_delta,atm_ce_volume,atm_pe_close,atm_pe_iv,atm_pe_delta,atm_pe_volume,atm_straddle_cost,atm_straddle_iv,net_delta_imbalance,signed_flow_proxy
2026-09-02 09:35:00,76295.17,76300.0,1098.45,14.71,0.5045,20,582.1,7.75,-0.4955,20,1680.55,11.23,0.009,20.0
2026-09-02 09:40:00,76341.45,76300.0,1098.45,14.4,0.5111,0,582.1,8.05,-0.4831,0,1680.55,11.23,0.028,0.0
2026-09-02 09:45:00,76320.71,76300.0,1098.45,14.54,0.5081,0,582.1,7.92,-0.4885,0,1680.55,11.23,0.0196,0.0
2026-09-02 09:50:00,76303.43,76300.0,1127.0,15.04,0.5058,60,582.1,7.8,-0.4932,0,1709.1,11.42,0.0126,58.0
2026-09-02 10:05:00,76344.0,76300.0,1105.55,14.48,0.5115,0,579.15,8.03,-0.4825,140,1684.7,11.26,0.029,20.0
2026-09-02 10:10:00,76344.69,76300.0,1105.55,14.48,0.5116,0,585.0,8.11,-0.4824,40,1690.55,11.3,0.0292,-40.0
2026-09-02 11:00:00,76330.28,76300.0,1170.35,15.45,0.5097,0,575.0,7.89,-0.486,0,1745.35,11.67,0.0237,0.0
2026-09-02 11:05:00,76311.2,76300.0,1140.0,15.18,0.5069,40,575.0,7.77,-0.4911,0,1715.0,11.48,0.0158,-40.0
2026-09-02 11:10:00,76309.2,76300.0,1140.0,15.19,0.5067,0,631.25,8.51,-0.4915,140,1771.25,11.85,0.0152,-140.0
2026-09-02 11:15:00,76320.59,76300.0,1140.0,15.12,0.5082,0,599.8,8.16,-0.4886,200,1739.8,11.64,0.0196,200.0
2026-09-02 11:20:00,76283.88,76300.0,1140.0,15.37,0.5033,0,593.8,7.84,-0.4985,40,1733.8,11.6,0.0048,40.0
2026-09-02 11:25:00,76273.13,76300.0,1140.0,15.44,0.5018,0,593.8,7.77,-0.5015,0,1733.8,11.6,0.0003,0.0
2026-09-02 11:30:00,76259.21,76300.0,1140.0,15.53,0.5,0,593.8,7.68,-0.5054,0,1733.8,11.6,-0.0054,0.0
2026-09-02 11:35:00,76279.37,76300.0,1140.0,15.4,0.5027,0,593.8,7.81,-0.4997,0,1733.8,11.6,0.003,0.0
2026-09-02 11:40:00,76255.85,76300.0,1140.0,15.56,0.4996,0,638.1,8.25,-0.5052,40,1778.1,11.9,-0.0056,-37.0
2026-09-02 11:50:00,76295.86,76300.0,1140.0,15.29,0.5049,0,635.0,8.48,-0.4948,20,1775.0,11.88,0.0101,20.0
2026-09-02 11:55:00,76263.83,76300.0,1140.0,15.51,0.5006,0,635.0,8.26,-0.5032,0,1775.0,11.88,-0.0026,0.0
2026-09-02 12:05:00,76264.69,76300.0,1095.0,14.9,0.5002,0,635.0,8.27,-0.5029,0,1730.0,11.58,-0.0027,0.0
2026-09-02 12:10:00,76340.33,76300.0,1095.0,14.39,0.5109,0,593.0,8.21,-0.4836,140,1688.0,11.3,0.0273,140.0
2026-09-02 12:15:00,76314.41,76300.0,1095.0,14.57,0.5072,0,593.0,8.04,-0.4902,0,1688.0,11.3,0.017,0.0
2026-09-02 12:20:00,76292.43,76300.0,1105.95,14.87,0.5042,80,593.0,7.89,-0.4961,0,1698.95,11.38,0.0081,80.0
2026-09-02 12:25:00,76330.19,76300.0,1105.95,14.61,0.5095,0,593.0,8.14,-0.4861,0,1698.95,11.38,0.0234,0.0
2026-09-02 10:50:00,76381.44,76400.0,1068.1,14.4,0.5023,320,605.0,7.96,-0.499,0,1673.1,11.18,0.0033,-209.0
2026-09-02 10:55:00,76394.71,76400.0,1086.7,14.56,0.5043,80,605.0,8.05,-0.4954,0,1691.7,11.3,0.0089,80.0
2026-09-02 12:30:00,76374.93,76400.0,1025.6,13.89,0.5009,0,610.05,8.0,-0.5007,0,1635.65,10.94,0.0002,0.0
2026-09-02 12:35:00,76377.26,76400.0,1025.6,13.88,0.5013,0,610.05,8.01,-0.5,260,1635.65,10.94,0.0013,0.0
2026-09-02 12:40:00,76417.38,76400.0,1025.6,13.61,0.5073,0,610.05,8.28,-0.4895,0,1635.65,10.94,0.0178,0.0
2026-09-02 12:45:00,76401.8,76400.0,1084.05,14.5,0.5053,560,610.05,8.18,-0.4935,0,1694.1,11.34,0.0118,472.0
2026-09-02 12:50:00,76417.73,76400.0,1104.6,14.67,0.5077,20,610.05,8.28,-0.4894,0,1714.65,11.48,0.0183,20.0
2026-09-02 12:55:00,76427.04,76400.0,1104.6,14.6,0.509,0,609.95,8.34,-0.487,20,1714.55,11.47,0.022,20.0
2026-09-02 13:00:00,76429.72,76400.0,1104.6,14.59,0.5094,0,609.95,8.36,-0.4864,0,1714.55,11.48,0.023,0.0
2026-09-02 13:05:00,76389.99,76400.0,1104.6,14.86,0.5038,0,609.95,8.1,-0.4966,0,1714.55,11.48,0.0072,0.0
2026-09-02 13:10:00,76447.39,76400.0,1104.6,14.47,0.512,0,609.95,8.48,-0.482,0,1714.55,11.48,0.03,0.0
2026-09-02 13:15:00,76438.14,76400.0,1104.6,14.53,0.5106,0,609.95,8.42,-0.4843,0,1714.55,11.48,0.0263,0.0
2026-09-02 13:20:00,76448.69,76400.0,1104.6,14.46,0.5121,0,609.95,8.49,-0.4817,0,1714.55,11.48,0.0304,0.0
2026-09-02 13:25:00,76443.65,76400.0,1110.95,14.58,0.5114,20,609.95,8.45,-0.4829,0,1720.9,11.52,0.0285,20.0
2026-09-02 13:30:00,76444.51,76400.0,1110.95,14.58,0.5115,0,609.95,8.46,-0.4827,0,1720.9,11.52,0.0288,0.0
2026-09-02 13:35:00,76419.79,76400.0,1110.95,14.75,0.508,0,575.0,7.83,-0.4888,20,1685.95,11.29,0.0192,20.0
2026-09-02 13:40:00,76425.19,76400.0,1110.95,14.71,0.5088,0,569.8,7.8,-0.4873,40,1680.75,11.26,0.0215,5.0
2026-09-02 13:45:00,76423.45,76400.0,1099.15,14.57,0.5085,40,569.8,7.79,-0.4878,0,1668.95,11.18,0.0207,-40.0
2026-09-02 13:50:00,76420.27,76400.0,1099.15,14.59,0.508,0,602.8,8.21,-0.4887,120,1701.95,11.4,0.0193,-99.0
2026-09-02 13:55:00,76439.83,76400.0,1099.15,14.46,0.5108,0,602.8,8.34,-0.4838,0,1701.95,11.4,0.027,0.0
2026-09-02 14:55:00,76426.52,76400.0,1099.15,14.56,0.5089,0,550.0,7.55,-0.4868,0,1649.15,11.06,0.0221,0.0
2026-09-02 15:00:00,76381.7,76400.0,1099.15,14.87,0.5026,0,550.0,7.25,-0.4998,0,1649.15,11.06,0.0028,0.0
2026-09-02 15:05:00,76379.58,76400.0,1099.15,14.88,0.5023,0,610.0,8.05,-0.4994,80,1709.15,11.46,0.0029,-80.0
2026-09-02 10:25:00,76478.36,76500.0,1052.35,14.18,0.5017,400,632.95,8.3,-0.4994,20,1685.3,11.24,0.0023,420.0
