datetime,spot_price,opt_open,opt_high,opt_low,opt_close,volume,iv_pct,delta,gamma,theta,vega
2026-09-04 09:15:00,23927.2,196.0,217.8,192.0,210.1,2848430,13.36,0.6462,0.001075,-15.01,9.6
2026-09-04 09:20:00,23915.3,210.15,212.0,200.75,205.7,1211405,13.69,0.6304,0.001066,-15.62,9.74
2026-09-04 09:25:00,23908.35,206.2,209.7,197.45,200.85,1299935,13.65,0.6234,0.001077,-15.67,9.79
2026-09-04 09:30:00,23907.2,200.2,205.9,193.75,200.3,1408680,13.67,0.622,0.001077,-15.72,9.8
2026-09-04 09:35:00,23904.0,200.3,202.55,194.0,199.05,1056510,13.75,0.6179,0.001074,-15.87,9.82
2026-09-04 09:40:00,23910.55,198.8,204.0,197.0,203.0,738920,13.75,0.6251,0.001069,-15.78,9.76
2026-09-04 09:45:00,23925.45,202.7,213.0,202.5,210.4,1866020,13.54,0.6429,0.001067,-15.3,9.61
2026-09-04 09:50:00,23945.15,210.5,226.3,209.8,225.0,2435290,13.73,0.6617,0.001031,-15.23,9.42
2026-09-04 09:55:00,23948.4,225.95,230.0,223.0,225.0,1571180,13.5,0.6676,0.001042,-14.88,9.35
2026-09-04 10:00:00,23959.3,225.35,235.0,225.1,231.15,1169675,13.38,0.6804,0.001034,-14.52,9.2
2026-09-04 10:05:00,23945.9,231.0,232.0,219.25,221.45,747890,13.31,0.6673,0.001058,-14.68,9.35
2026-09-04 10:10:00,23939.45,221.05,221.65,212.0,216.75,763100,13.28,0.6609,0.001069,-14.76,9.41
2026-09-04 10:15:00,23946.15,216.3,225.7,211.3,221.45,1114360,13.31,0.6677,0.001059,-14.68,9.34
2026-09-04 10:20:00,23951.85,221.1,229.5,221.1,226.05,615615,13.4,0.6728,0.001045,-14.7,9.28
2026-09-04 10:25:00,23963.8,226.4,237.0,226.4,236.9,928135,13.7,0.6815,0.00101,-14.88,9.17
2026-09-04 10:30:00,23959.95,236.55,242.4,231.75,233.3,1367210,13.6,0.6788,0.001022,-14.82,9.2
2026-09-04 10:35:00,23960.6,233.5,238.0,226.4,234.25,905190,13.66,0.6789,0.001018,-14.9,9.2
2026-09-04 10:40:00,23953.2,234.95,237.55,228.9,232.25,325975,13.99,0.6677,0.001009,-15.47,9.32
2026-09-04 10:45:00,23959.15,231.75,237.2,230.1,234.8,382395,13.84,0.6755,0.00101,-15.17,9.23
2026-09-04 10:50:00,23963.05,234.7,237.5,231.1,237.35,346060,13.83,0.6795,0.001005,-15.09,9.18
2026-09-04 10:55:00,23967.05,237.25,239.0,233.1,237.45,392665,13.55,0.687,0.001016,-14.64,9.08
2026-09-04 11:00:00,23965.35,237.5,240.0,229.55,232.05,601770,13.09,0.6912,0.001047,-14.07,9.03
2026-09-04 11:05:00,23971.65,232.65,237.85,228.8,236.6,403195,13.12,0.6975,0.001035,-13.97,8.94
2026-09-04 11:10:00,23965.05,235.55,239.0,228.1,228.8,359125,12.76,0.6954,0.001068,-13.64,8.96
2026-09-04 11:15:00,23974.7,229.3,236.5,225.5,235.0,473590,12.7,0.7065,0.001055,-13.36,8.81
2026-09-04 11:20:00,23979.9,235.9,240.55,233.6,235.0,613665,12.28,0.7184,0.00107,-12.67,8.64
2026-09-04 11:25:00,23982.15,234.8,244.0,233.2,239.05,721500,12.57,0.7165,0.001049,-13.02,8.67
2026-09-04 11:30:00,23987.6,238.2,249.3,238.2,247.8,858000,13.14,0.7139,0.001009,-13.67,8.7
2026-09-04 11:35:00,23999.05,247.0,258.1,244.8,255.5,815880,13.08,0.7262,0.000991,-13.33,8.52
2026-09-04 11:40:00,23981.5,256.85,260.0,244.0,244.75,552045,13.29,0.7057,0.001011,-14.03,8.81
2026-09-04 11:45:00,23984.15,245.15,248.9,243.65,247.95,224965,13.45,0.7063,0.000999,-14.19,8.8
2026-09-04 11:50:00,23985.25,247.95,253.55,246.05,248.2,260715,13.4,0.7082,0.001,-14.1,8.77
2026-09-04 11:55:00,23978.65,247.8,251.0,242.95,244.05,180765,13.46,0.7008,0.001008,-14.33,8.86
2026-09-04 12:00:00,23959.1,244.05,244.1,227.05,228.0,735865,13.18,0.6843,0.001055,-14.37,9.07
2026-09-04 12:05:00,23964.5,227.5,232.85,226.75,230.35,574015,13.04,0.6919,0.001055,-14.07,8.97
2026-09-04 12:10:00,23952.85,229.05,230.7,219.65,222.75,672750,13.09,0.679,0.001071,-14.38,9.12
2026-09-04 12:15:00,23948.55,223.35,223.85,214.1,218.6,701415,12.96,0.676,0.001087,-14.29,9.15
2026-09-04 12:20:00,23940.5,218.65,219.05,206.0,206.4,630175,12.22,0.6764,0.001152,-13.48,9.14
