datetime,spot_price,opt_open,opt_high,opt_low,opt_close,volume,iv_pct,delta,gamma,theta,vega
2026-09-03 09:15:00,23982.2,174.95,196.85,163.05,185.3,11042460,12.26,0.5945,0.001097,-12.96,11.15
2026-09-03 09:30:00,24016.85,184.9,216.45,184.9,212.5,6800950,12.82,0.6268,0.001024,-13.26,10.89
2026-09-03 09:45:00,24007.6,212.65,218.25,205.0,206.6,2390310,12.82,0.6174,0.001033,-13.37,10.96
2026-09-03 10:00:00,23991.15,206.15,206.9,196.45,196.45,1712490,12.82,0.6003,0.001048,-13.54,11.08
2026-09-03 10:15:00,23984.7,196.7,203.0,185.0,185.8,2290860,12.22,0.5979,0.001102,-12.94,11.08
2026-09-03 10:30:00,23967.05,185.0,189.25,162.8,169.8,3713970,11.73,0.5814,0.001162,-12.54,11.17
2026-09-03 10:45:00,23960.9,169.55,174.0,160.25,164.75,2469870,11.61,0.5751,0.001179,-12.46,11.19
2026-09-03 11:00:00,23926.9,164.55,167.5,143.6,147.6,4387045,11.77,0.5342,0.001183,-12.82,11.33
2026-09-03 11:15:00,23964.15,147.45,167.95,142.75,167.9,4824170,11.74,0.5782,0.001166,-12.62,11.15
2026-09-03 11:30:00,23965.25,167.85,175.0,164.05,168.0,3380000,11.71,0.5798,0.00117,-12.58,11.13
2026-09-03 11:45:00,23956.75,167.9,172.5,155.45,159.7,2735980,11.41,0.5715,0.001206,-12.33,11.16
2026-09-03 12:00:00,23935.95,160.2,161.7,146.7,150.9,3100240,11.68,0.5454,0.001193,-12.74,11.25
2026-09-03 12:15:00,23907.75,150.85,150.85,133.7,139.25,5488860,11.98,0.5115,0.001173,-13.15,11.3
2026-09-03 12:30:00,23909.05,138.9,146.5,137.8,141.65,4246710,12.14,0.5129,0.001158,-13.34,11.29
2026-09-03 12:45:00,23920.3,141.1,150.5,138.95,144.95,4484675,11.93,0.5263,0.001178,-13.1,11.26
2026-09-03 13:00:00,23926.0,144.85,149.95,141.25,144.85,3013855,11.66,0.5337,0.001203,-12.81,11.24
2026-09-03 13:15:00,23910.05,144.5,149.8,122.0,137.7,6258200,11.78,0.5143,0.001197,-12.99,11.25
2026-09-03 13:30:00,23907.35,137.1,152.6,134.35,137.35,6891300,11.89,0.5111,0.001188,-13.12,11.24
2026-09-03 13:45:00,23918.15,137.7,144.5,130.85,142.0,5197855,11.82,0.524,0.001194,-13.04,11.22
2026-09-03 14:00:00,23913.3,141.8,145.75,137.45,141.5,3066440,12.01,0.518,0.001177,-13.27,11.21
2026-09-03 14:15:00,23921.85,141.15,145.35,135.2,142.45,3805620,11.71,0.5287,0.001207,-12.93,11.19
2026-09-03 14:30:00,23908.2,142.4,144.3,136.15,140.0,3020030,12.13,0.512,0.001168,-13.44,11.19
2026-09-03 14:45:00,23897.35,140.25,143.4,130.3,132.0,4299490,11.92,0.4992,0.001192,-13.22,11.18
2026-09-03 15:00:00,23903.9,131.6,137.6,124.95,134.7,7466810,11.88,0.507,0.001196,-13.19,11.17
2026-09-03 15:15:00,23873.45,134.8,137.0,111.45,112.5,6963255,11.23,0.4685,0.001265,-12.44,11.11
